Date,Dollar_Exchange_Rate,Monthly_Change,12-Month_Change
2021-12-24,44.400000000000006,0.0,0.5662514156285603
2021-12-27,44.400000000000006,0.0,0.5207154177043316
2021-12-28,44.45,0.11261261261261701,0.5656108597285048
2021-12-29,44.45,0.0,0.4519774011299438
2021-12-30,44.75,0.6749156355455588,1.1299435028248483
2021-12-31,44.7,-0.11173184357541333,0.9029345372460584
2022-01-03,44.7,0.0,0.6756756756756799
2022-01-04,44.599999999999994,-0.22371364653245296,0.3374578177727683
2022-01-05,44.75,0.3363228699551746,1.0158013544018019
2022-01-08,44.55,-0.4469273743016866,0.4509582863585271
2022-01-10,44.55,0.0,0.4509582863585271
2022-01-11,44.7,0.33670033670034627,0.6756756756756799
2022-01-12,44.650000000000006,-0.11185682326620983,0.5630630630630629
2022-01-13,44.650000000000006,0.0,0.5630630630630629
2022-01-14,44.55,-0.22396416573350342,0.22497187851517886
2022-01-17,44.599999999999994,0.11223344556676729,0.3374578177727683
2022-01-18,44.599999999999994,0.0,-0.3351955307262733
2022-01-19,44.599999999999994,0.0,-0.22371364653245296
2022-01-20,44.599999999999994,0.0,-0.22371364653245296
2022-01-21,44.599999999999994,0.0,0.0
2022-01-24,44.55,-0.11210762331838042,-0.4469273743016866
2022-01-25,44.5,-0.11223344556676729,-0.11223344556676729
2022-01-26,44.45,-0.11235955056179137,-0.22446689113354568
2022-01-27,44.25,-0.4499437570303799,-1.0067114093959773
2022-01-28,44.099999999999994,-0.3389830508474745,-1.2318029115341744
2022-01-31,44.099999999999994,0.0,-1.2318029115341744
2022-02-01,44.150000000000006,0.11337868480727487,-0.897867564534216
2022-02-02,43.8,-0.7927519818799689,-1.7937219730941645
2022-02-03,43.849999999999994,0.11415525114155667,-1.681614349775784
2022-02-04,43.75,-0.22805017103761926,-1.905829596412545
2022-02-07,43.7,-0.11428571428571122,-2.0179372197309253
2022-02-08,43.599999999999994,-0.22883295194510156,-2.2421524663677084
2022-02-09,43.349999999999994,-0.5733944954128489,-2.6936026936027035
2022-02-10,43.150000000000006,-0.46136101499421045,-3.0337078651685223
2022-02-11,43.150000000000006,0.0,-2.924634420697403
2022-02-14,43.099999999999994,-0.11587485515646145,-2.5988700564971934
2022-02-15,43.099999999999994,0.0,-2.26757369614512
2022-02-16,43.05,-0.11600928074245731,-2.3809523809523725
2022-02-17,42.900000000000006,-0.34843205574910385,-2.8312570781426905
2022-02-18,42.900000000000006,0.0,-2.054794520547931
2022-02-21,43.0,0.2331002331002141,-1.9384264538198304
2022-02-22,42.8,-0.46511627906977715,-2.1714285714285797
2022-02-23,42.5,-0.7009345794392496,-2.7459954233409634
2022-02-24,42.2,-0.7058823529411673,-3.2110091743119074
2022-02-25,43.099999999999994,2.132701421800931,-0.5767012687427964
2022-03-02,42.55,-1.2761020881670415,-1.3904982618771933
2022-03-03,42.7,0.3525264394829808,-1.0428736964078866
2022-03-04,42.55,-0.3512880562061005,-1.2761020881670415
2022-03-07,42.7,0.3525264394829808,-0.9280742459396585
2022-03-08,42.8,0.23419203747070405,-0.5807200929152101
2022-03-09,42.75,-0.1168224299065379,-0.34965034965036557
2022-03-10,42.55,-0.4678362573099504,-0.8158508158508382
2022-03-11,42.599999999999994,0.11750881316097139,-0.9302325581395432
2022-03-14,42.650000000000006,0.11737089201879769,-0.3504672897196026
2022-03-15,42.75,0.23446658851111746,0.588235294117645
2022-03-16,42.8,0.11695906432747094,1.42180094786728
2022-03-17,42.650000000000006,-0.3504672897196026,-1.0440835266821047
2022-03-18,42.5,-0.3516998827667206,-0.1175088131609825
2022-03-21,42.599999999999994,0.23529411764704466,-0.23419203747074846
2022-03-22,42.5,-0.23474178403753987,-0.1175088131609825
2022-03-23,42.3,-0.47058823529412264,-0.9367681498829161
2022-03-24,42.05,-0.5910165484633523,-1.7523364485981352
2022-03-25,41.75,-0.7134363852556391,-2.3391812865497075
2022-03-28,41.5,-0.5988023952095856,-2.467685076380721
