date,dollar_exchange_rate,day_name,month_name,day,month,year,daily_change,monthly_change,yearly_change
2019-02-22,32.67,Friday,February,22.0,2.0,2019.0,0.0,0.1532801961986424,14.75237091675449
2019-02-25,32.66,Monday,February,25.0,2.0,2019.0,-0.03060912151822808,0.2147898128259993,14.757554462403357
2019-02-26,32.629999999999995,Tuesday,February,26.0,2.0,2019.0,-0.09185548071035254,0.12273703590055857,14.934836209933056
2019-02-27,32.64,Wednesday,February,27.0,2.0,2019.0,0.030646644192476608,0.15342129487572,15.254237288135593
2019-02-28,32.68,Thursday,February,28.0,2.0,2019.0,0.12254901960784054,0.3069367710251732,15.395480225988697
2019-03-01,32.65,Friday,March,1.0,3.0,2019.0,-0.09179926560587863,0.33804548248309596,15.289548022598865
2019-03-06,32.66,Wednesday,March,6.0,3.0,2019.0,0.03062787136293418,0.5541871921182038,15.24347212420606
2019-03-07,32.709999999999994,Thursday,March,7.0,3.0,2019.0,0.15309246785057307,0.7701786814540754,15.58303886925794
2019-03-08,33.0,Friday,March,8.0,3.0,2019.0,0.8865790278202578,1.6322759470280293,16.484292269678793
2019-03-11,33.099999999999994,Monday,March,11.0,3.0,2019.0,0.30303030303028583,1.5960712093308658,16.713681241184748
2019-03-12,33.099999999999994,Tuesday,March,12.0,3.0,2019.0,0.0,1.5960712093308658,16.754850088183396
2019-03-13,33.150000000000006,Wednesday,March,13.0,3.0,2019.0,0.1510574018127232,1.8120393120393226,16.848783926683147
2019-03-14,33.400000000000006,Thursday,March,14.0,3.0,2019.0,0.7541478129713423,2.4854249769868124,17.729996475149836
2019-03-15,33.55,Friday,March,15.0,3.0,2019.0,0.44910179640716,3.008903899293819,18.342151675484995
2019-03-18,33.47,Monday,March,18.0,3.0,2019.0,-0.2384500745156432,2.7317372621240046,17.893624515674528
2019-03-19,33.379999999999995,Tuesday,March,19.0,3.0,2019.0,-0.2688975201673242,2.455494168201342,17.493840197113673
2019-03-20,33.25,Wednesday,March,20.0,3.0,2019.0,-0.38945476333132256,1.9938650306748642,16.953921913471685
2019-03-21,33.31,Thursday,March,21.0,3.0,2019.0,0.18045112781955572,2.146580803434538,17.082601054481543
2019-03-22,33.379999999999995,Friday,March,22.0,3.0,2019.0,0.21014710297206,2.2671568627450824,17.246224095539155
2019-03-25,33.599999999999994,Monday,March,25.0,3.0,2019.0,0.6590772917914886,2.846648301193733,18.39323467230441
2019-03-26,33.5,Tuesday,March,26.0,3.0,2019.0,-0.29761904761903074,2.540557086011626,18.040873854827332
2019-03-27,33.45,Wednesday,March,27.0,3.0,2019.0,-0.1492537313432751,2.418860992039211,17.864693446088793
2019-03-28,33.8,Thursday,March,28.0,3.0,2019.0,1.046337817638249,3.585657370517934,19.097956307258613
2019-03-29,33.650000000000006,Friday,March,29.0,3.0,2019.0,-0.4437869822484955,3.094362745098055,18.569415081042997
2019-04-01,33.47,Monday,April,1.0,4.0,2019.0,-0.534918276374463,2.5114854517611036,17.9351656095842
2019-04-02,33.47,Tuesday,April,2.0,4.0,2019.0,0.0,2.5114854517611036,18.101623147494703
2019-04-03,33.650000000000006,Wednesday,April,3.0,4.0,2019.0,0.5377950403346484,3.0627871362940495,18.820621468926575
2019-04-04,33.75,Thursday,April,4.0,4.0,2019.0,0.29717682020800684,3.3690658499234347,19.469026548672566
2019-04-05,33.650000000000006,Friday,April,5.0,4.0,2019.0,-0.29629629629627946,3.0312308634415466,18.90459363957599
2019-04-08,33.730000000000004,Monday,April,8.0,4.0,2019.0,0.23774145616641393,2.2121212121212244,19.398230088495588
2019-04-09,33.8,Tuesday,April,9.0,4.0,2019.0,0.20753038837827803,2.4242424242424154,19.434628975265007
2019-04-10,33.97,Wednesday,April,10.0,4.0,2019.0,0.5029585798816619,2.6283987915408,20.16271666077113
2019-04-11,33.95,Thursday,April,11.0,4.0,2019.0,-0.05887547836324999,2.5679758308157363,20.262132483173936
2019-04-12,34.150000000000006,Friday,April,12.0,4.0,2019.0,0.5891016200294634,3.016591251885369,20.756718528995773
2019-04-23,34.349999999999994,Tuesday,April,23.0,4.0,2019.0,0.5856515373352521,2.9059316956261205,21.765331442750774
2019-04-24,34.400000000000006,Wednesday,April,24.0,4.0,2019.0,0.14556040756917432,2.380952380952415,22.289370778528287
2019-04-25,34.519999999999996,Thursday,April,25.0,4.0,2019.0,0.34883720930229745,3.0447761194029734,22.237960339943335
2019-04-26,34.650000000000006,Friday,April,26.0,4.0,2019.0,0.37659327925842895,3.587443946188349,22.179125528913985
2019-04-29,34.769999999999996,Monday,April,29.0,4.0,2019.0,0.3463203463203184,3.328380386329837,22.214411247803152
2019-04-30,34.8,Tuesday,April,30.0,4.0,2019.0,0.08628127696290233,3.4175334323922475,22.31985940246045
2019-05-02,35.05,Thursday,May,2.0,5.0,2019.0,0.7183908045977012,4.720645354048396,22.466806429070584
2019-05-03,35.1,Friday,May,3.0,5.0,2019.0,0.14265335235379248,4.309063893016331,21.32734185966126
2019-05-06,34.89,Monday,May,6.0,5.0,2019.0,-0.5982905982906007,3.684992570579479,18.875638841567287
2019-05-07,35.05,Tuesday,May,7.0,5.0,2019.0,0.4585841215247824,4.160475482912307,20.034246575342443
2019-05-08,35.02,Wednesday,May,8.0,5.0,2019.0,-0.08559201141225117,3.8244885858286364,18.91341256366723
2019-05-09,35.05,Thursday,May,9.0,5.0,2019.0,0.08566533409478592,3.698224852071006,16.059602649006603
2019-05-10,35.150000000000006,Friday,May,10.0,5.0,2019.0,0.28530670470758496,3.473653223432461,15.81548599670512
2019-05-13,35.14,Monday,May,13.0,5.0,2019.0,-0.02844950213372721,2.8989751098096477,16.821808510638306
2019-05-14,35.24,Tuesday,May,14.0,5.0,2019.0,0.28457598178714116,3.1918008784772947,16.495867768595048
2019-05-15,35.22,Wednesday,May,15.0,5.0,2019.0,-0.0567536889897932,3.133235724743757,14.723127035830604
2019-05-16,35.23,Thursday,May,16.0,5.0,2019.0,0.028392958546274875,3.162518301610515,13.279742765273298
2019-05-17,35.22,Friday,May,17.0,5.0,2019.0,-0.028384899233602077,3.133235724743757,13.980582524271846
2019-05-20,35.26,Monday,May,20.0,5.0,2019.0,0.11357183418511967,3.2503660322108114,12.831999999999994
2019-05-21,35.27,Tuesday,May,21.0,5.0,2019.0,0.028360748723780815,3.279648609077591,12.864000000000008
2019-05-22,35.27,Wednesday,May,22.0,5.0,2019.0,0.0,3.279648609077591,12.324840764331226
2019-05-23,35.3,Thursday,May,23.0,5.0,2019.0,0.08505812305073442,2.7656477438136915,12.77955271565494
2019-05-24,35.19,Friday,May,24.0,5.0,2019.0,-0.31161473087818536,2.2965116279069533,12.644046094750319
2019-05-27,35.15,Monday,May,27.0,5.0,2019.0,-0.11366865586814195,1.4430014430014222,12.444017914267425
2019-05-28,35.1,Tuesday,May,28.0,5.0,2019.0,-0.14224751066855523,1.298701298701286,12.35595390524969
2019-05-29,35.15,Wednesday,May,29.0,5.0,2019.0,0.14245014245013435,1.0928961748633954,12.768687840872623
2019-05-30,35.25,Thursday,May,30.0,5.0,2019.0,0.28449502133713067,1.2931034482758703,13.344051446945333
2019-05-31,35.2,Friday,May,31.0,5.0,2019.0,-0.1418439716311976,1.1494252873563382,13.36553945249598
2019-06-03,35.25,Monday,June,3.0,6.0,2019.0,0.14204545454544645,0.42735042735042333,13.162118780096312
2019-06-04,35.17,Tuesday,June,4.0,6.0,2019.0,-0.22695035460992422,0.19943019943020024,12.796664528543944
2019-06-05,35.05,Wednesday,June,5.0,6.0,2019.0,-0.3411998862667175,0.4585841215247824,12.520064205457459
2019-06-06,35.23,Thursday,June,6.0,6.0,2019.0,0.5135520684736083,0.5135520684736083,13.38912133891212
2019-06-07,35.3,Friday,June,7.0,6.0,2019.0,0.19869429463525487,0.7995431182181439,13.687600644122371
2019-06-10,35.42,Monday,June,10.0,6.0,2019.0,0.3399433427762169,0.7681365576102304,12.623211446740868
2019-06-11,35.41,Tuesday,June,11.0,6.0,2019.0,-0.028232636928303544,0.7396870554765032,13.239526702910128
2019-06-12,35.36,Wednesday,June,12.0,6.0,2019.0,-0.1412030499858717,0.6260671599316986,13.04347826086956
2019-06-13,35.32,Thursday,June,13.0,6.0,2019.0,-0.11312217194569894,0.22701475595913248,12.843450479233226
2019-06-14,35.28,Friday,June,14.0,6.0,2019.0,-0.1132502831257054,0.1703577512776896,12.35668789808918
